,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
2470,1225497600000,2008-11-01,11,2008,-67.14906748793423,-0.22457882102988036,259.0655933022499,150.3749942779541,2
4054,1225497600000,2008-11-01,11,2008,-66.25075220381471,0.22457882102988036,354.3175781965256,156.37500286102295,2
1150,1225497600000,2008-11-01,11,2008,-67.59822512999399,-0.6737364630896411,329.69851656258106,148.97500133514404,2
358,1225497600000,2008-11-01,11,2008,-67.14906748793423,-1.1228941051494017,395.24009945988655,127.1250057220459,2
3790,1225497600000,2008-11-01,11,2008,-66.69990984587447,0.22457882102988036,325.7287242412567,113.62499713897705,2
2206,1225497600000,2008-11-01,11,2008,-67.59822512999399,-0.22457882102988036,286.0991249233484,151.875,2
2998,1225497600000,2008-11-01,11,2008,-66.25075220381471,-0.22457882102988036,290.2975038141012,115.12500286102294,2
94,1225497600000,2008-11-01,11,2008,-67.59822512999399,-1.1228941051494017,355.73319905996317,130.87499856948853,2
2734,1225497600000,2008-11-01,11,2008,-66.69990984587447,-0.22457882102988036,285.356482565403,116.78750133514404,2
3526,1225497600000,2008-11-01,11,2008,-67.14906748793423,0.22457882102988036,298.91663256287575,128.25000286102295,2
1942,1225497600000,2008-11-01,11,2008,-66.25075220381471,-0.6737364630896411,322.23886439204216,122.55681590600447,2
622,1225497600000,2008-11-01,11,2008,-66.69990984587447,-1.1228941051494017,429.0397894382477,153.75,2
3527,1228089600000,2008-12-01,12,2008,-67.14906748793423,0.22457882102988036,334.97372314706445,113.15000295639038,2
2207,1228089600000,2008-12-01,12,2008,-67.59822512999399,-0.22457882102988036,328.7246210575104,101.13750147819519,2
2735,1228089600000,2008-12-01,12,2008,-66.69990984587447,-0.22457882102988036,365.2138224840164,120.90000295639038,2
359,1228089600000,2008-12-01,12,2008,-67.14906748793423,-1.1228941051494017,416.6111951470375,118.96250295639038,2
95,1228089600000,2008-12-01,12,2008,-67.59822512999399,-1.1228941051494017,332.74550929665565,138.72499704360962,2
1415,1228089600000,2008-12-01,12,2008,-67.14906748793423,-0.6737364630896411,378.88485634326935,113.53749704360962,2
4055,1228089600000,2008-12-01,12,2008,-66.25075220381471,0.22457882102988036,370.1052588224411,117.02500295639038,2
2999,1228089600000,2008-12-01,12,2008,-66.25075220381471,-0.22457882102988036,372.99653777480125,130.19999408721924,2
1943,1228089600000,2008-12-01,12,2008,-66.25075220381471,-0.6737364630896411,402.34453135728836,94.54999852180481,2
1416,1230768000000,2009-01-01,1,2009,-67.14906748793423,-0.6737364630896411,450.79052460193634,125.35625147819519,2
1680,1230768000000,2009-01-01,1,2009,-66.69990984587447,-0.6737364630896411,442.6178476959467,106.95000147819519,2
888,1230768000000,2009-01-01,1,2009,-66.25075220381471,-1.1228941051494017,470.9127005189657,143.76249408721924,2
96,1230768000000,2009-01-01,1,2009,-67.59822512999399,-1.1228941051494017,396.17717030644417,137.17500591278076,2
2208,1230768000000,2009-01-01,1,2009,-67.59822512999399,-0.22457882102988036,467.08654223382473,126.71250295639038,2
3792,1230768000000,2009-01-01,1,2009,-66.69990984587447,0.22457882102988036,395.5671762228012,125.9375,2
2736,1230768000000,2009-01-01,1,2009,-66.69990984587447,-0.22457882102988036,298.9641242325306,140.45583648681642,2
2472,1230768000000,2009-01-01,1,2009,-67.14906748793423,-0.22457882102988036,387.92810951173306,135.625,2
4056,1230768000000,2009-01-01,1,2009,-66.25075220381471,0.22457882102988036,366.87781751155853,128.26249408721924,2
360,1230768000000,2009-01-01,1,2009,-67.14906748793423,-1.1228941051494017,469.8966717720032,128.06874704360962,2
1152,1230768000000,2009-01-01,1,2009,-67.59822512999399,-0.6737364630896411,385.82287269830704,124.38749408721924,2
889,1233446400000,2009-02-01,2,2009,-66.25075220381471,-1.1228941051494017,192.51979690790176,126.70000267028809,2
1417,1233446400000,2009-02-01,2,2009,-67.14906748793423,-0.6737364630896411,276.86218543350697,114.45000267028809,2
3529,1233446400000,2009-02-01,2,2009,-67.14906748793423,0.22457882102988036,269.8877544403076,147.34999465942383,2
1945,1233446400000,2009-02-01,2,2009,-66.25075220381471,-0.6737364630896411,178.33792262524366,119.70000267028809,2
1681,1233446400000,2009-02-01,2,2009,-66.69990984587447,-0.6737364630896411,200.38777434825897,112.70000267028809,2
4057,1233446400000,2009-02-01,2,2009,-66.25075220381471,0.22457882102988036,192.90653675794601,137.78333204763908,2
1153,1233446400000,2009-02-01,2,2009,-67.59822512999399,-0.6737364630896411,329.82594250142574,130.2000026702881,2
2209,1233446400000,2009-02-01,2,2009,-67.59822512999399,-0.22457882102988036,311.22929272055626,114.45000267028809,2
2737,1233446400000,2009-02-01,2,2009,-66.69990984587447,-0.22457882102988036,200.40023919939995,114.29444207085504,2
3793,1233446400000,2009-02-01,2,2009,-66.69990984587447,0.22457882102988036,243.90459343791008,113.75,2
2473,1233446400000,2009-02-01,2,2009,-67.14906748793423,-0.22457882102988036,254.90988492965698,122.5,2
626,1235865600000,2009-03-01,3,2009,-66.69990984587447,-1.1228941051494017,337.0087916851044,155.77500295639035,2
1682,1235865600000,2009-03-01,3,2009,-66.69990984587447,-0.6737364630896411,310.40482518076897,107.72499704360962,2
3530,1235865600000,2009-03-01,3,2009,-67.14906748793423,0.22457882102988036,270.67991377413273,131.98249645233156,2
3794,1235865600000,2009-03-01,3,2009,-66.69990984587447,0.22457882102988036,247.84138413518667,168.17500591278076,2
1154,1235865600000,2009-03-01,3,2009,-67.59822512999399,-0.6737364630896411,293.37671622633934,123.61249852180481,2
2474,1235865600000,2009-03-01,3,2009,-67.14906748793423,-0.22457882102988036,296.1894623339176,165.46250295639038,2
2210,1235865600000,2009-03-01,3,2009,-67.59822512999399,-0.22457882102988036,316.2408914864063,142.59999704360962,2
2738,1235865600000,2009-03-01,3,2009,-66.69990984587447,-0.22457882102988036,261.85423719882965,143.6763875749376,2
362,1235865600000,2009-03-01,3,2009,-67.14906748793423,-1.1228941051494017,320.9977153763175,178.63749408721924,2
4058,1235865600000,2009-03-01,3,2009,-66.25075220381471,0.22457882102988036,236.07181853055954,146.86250380107333,2
1418,1235865600000,2009-03-01,3,2009,-67.14906748793423,-0.6737364630896411,311.06485664099455,140.58500118255617,2
3002,1235865600000,2009-03-01,3,2009,-66.25075220381471,-0.22457882102988036,259.15264946222305,157.32500000000002,2
98,1235865600000,2009-03-01,3,2009,-67.59822512999399,-1.1228941051494017,277.5415896475315,185.61250591278076,2
3003,1238544000000,2009-04-01,4,2009,-66.25075220381471,-0.22457882102988036,266.9197852611542,153.75,2
1947,1238544000000,2009-04-01,4,2009,-66.25075220381471,-0.6737364630896411,289.82871574163437,139.50000286102295,2
3267,1238544000000,2009-04-01,4,2009,-67.59822512999399,0.22457882102988036,257.86795165389776,155.625,2
627,1238544000000,2009-04-01,4,2009,-66.69990984587447,-1.1228941051494017,254.99011158943176,157.82142979758126,2
363,1238544000000,2009-04-01,4,2009,-67.14906748793423,-1.1228941051494017,269.8881780356169,170.30357224600655,2
1155,1238544000000,2009-04-01,4,2009,-67.59822512999399,-0.6737364630896411,231.04850354418159,166.12499713897705,2
3795,1238544000000,2009-04-01,4,2009,-66.69990984587447,0.22457882102988036,265.089118167758,162.7500057220459,2
4059,1238544000000,2009-04-01,4,2009,-66.25075220381471,0.22457882102988036,258.0983489751816,164.94642938886372,2
2475,1238544000000,2009-04-01,4,2009,-67.14906748793423,-0.22457882102988036,218.18088907003403,160.12500286102295,2
1419,1238544000000,2009-04-01,4,2009,-67.14906748793423,-0.6737364630896411,232.82468090206385,170.2500057220459,2
3531,1238544000000,2009-04-01,4,2009,-67.14906748793423,0.22457882102988036,255.1193147599697,161.6249942779541,2
2211,1238544000000,2009-04-01,4,2009,-67.59822512999399,-0.22457882102988036,251.87432484328747,128.62499713897705,2
891,1238544000000,2009-04-01,4,2009,-66.25075220381471,-1.1228941051494017,334.08187049627304,177.00000286102295,2
